"Formatted ID","Name","Schedule State","Defects","Blocked","Tags","Plan Estimate","Task Estimate Total","Task Remaining Total","Owner","Discussion","Milestones","Last Update Date","Parent","Iteration","Defect Type","Environment","Rejected Reason","Defect Status","Project","Description"
"US76388","Add additional statuses to AMER Action Item Record Types","Accepted","0","False","","1.0","10.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Add Scheduled and Closed as Action Item Statuses to all AMER Action Item Record Types."
"US74985","Allow Business Admins to Delete Touchpoints and Action Items","Accepted","0","False","","1.0","11.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Allow Business Admins (Both AMER and GC) to delete Touchpoints and Action Items."
"DE35760","As AMER CMH Lead, when  i am creating GD AI, with participating Hotels from Management company list , I am getting error.","Accepted","","False","","1.0","1.0","0.0","Neha Verma","0","MI1570: Ops Suite Deployment 5-13","05/16/2019 03:35 AM EDT","","2019.Q2.4","Iteration - Execution","UAT","","","Ops Suite BAU","Steps To Reproduce:1)Login To UAT.2)Login as AMER CMH Lead.3)Create a GD TP (AMER-CMH)4)Add Participating hotels by selecting Management Company as Intercontinental Hotels Group.5)Create GD AI by selecting these Hotels.Expected Result:GD AI are created successfully.Actual Result:GD AI are not created successfully.References:Screenshots Attached"
"US76387","Allow AMER Leads (Both FPS And CMH) to edit Deployment Date.","Accepted","0","False","","1.0","9.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/14/2019 07:06 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Allow all corporate users in AMER Profiles to update Deployment Date. "
"US76389","Display additional fields on Event page layout for AMER Profiles","Accepted","0","False","","2.0","7.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Add the following fields to Event Page Layout for all AMER Profiles (not the community ones): Interaction Type - Picklist Participation Status - Picklist Group/Multi-Hotel Event - CheckboxThese were available in Classic UI are are missing in Lightning.Also, it is OK if we need to add these to GC Profiles as well in case we have the same event page layout for all regions."
"US76480","Change location of """"Reassign"""" button on popup.","Accepted","0","False","","2.0","6.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Users click on """"Reassign Specialist"""" button to re-assign the action item to another specialist for that same functional area. The placement of the Cancel and Reassign buttons should be changed to something like what I have in the mockup attached with this story. Please check the attachment."
"US76515","Prior Actions field missing on Mass Deployment Action Items.","Accepted","1","False","","2.0","7.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 1 Closed, 0 Blocked","Ops Suite BAU","Per story US57457, we should allow users to enter Prior Actions text when creating Mass Deployment Action Items. This field is missing in Production. Please also double check other fields for Mass Deployment for both GC and AMER Record Types."
"US76734","Add additional statuses to AMER Corporate Task Record Type","Accepted","0","False","","1.0","8.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Add """"Scheduled"""" and """"Awaiting Response"""" values to Status field for AMER Corporate Task Record Type."
"US76735","Action Item Permissions for Specialist Profile","Accepted","0","False","","2.0","6.0","0.0","Smitha Bhoomireddy","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Allow users in Specialist and Director profile to update Request Reason and Action Required fields on Action Items."
"US77282","SSO setup and certificate update","Accepted","0","False","","1.0","0.0","0.0","Radhika Kondapally","0","MI1570: Ops Suite Deployment 5-13","05/13/2019 11:16 AM EDT","","2019.Q2.4","","","","0 New, 0 Assigned, 0 Open, 0 Reopen, 0 Deferred, 0 Fixed, 0 Rejected, 0 Pending Verification, 0 Closed, 0 Blocked","Ops Suite BAU","Create a new certificate and update the SSO in Production and lower sandboxes"
